ID_LATTES	NM_PROGRAMA_IES	NM_ENTIDADE_ENSINO
2998452751446895	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
6452901126311012	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
1779931169656381	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
9922706294578800	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
4947627030102292	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
6374474420461200	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
9678487261176688	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
0626316405831388	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
1272360228203358	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
9517186928653769	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
8973680430342234	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
5124669349178784	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
9200033290555012	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
5336382384707896	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
4044459478465378	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
2800440131764536	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
3862131524434026	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
8192540793712521	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
7974459472050559	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
9760572631474843	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
5468144003642210	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
7401713347997738	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
3697955836234352	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
5781495137217873	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
4386272833508083	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
2651666345446273	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
0479990476812992	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
5735371339563196	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
8895536429609181	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
8576089809365637	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
7908069186825175	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
3225091821778047	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
6693864880223173	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
8703942808327339	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
8391579922979824	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
4604053559093601	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
6961824868832863	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
4073294502295550	BIOLOGIA ANIMAL	Universidade Federal do Rio Grande do Sul
2645681829598421	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
1903025298414204	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
5464243969092412	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
6760789832926234	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
0134821761458628	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
2704384224930033	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
5587901760491970	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
6238654594421708	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
1672008572442721	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
8413464882207319	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
8231221319859774	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
2915446717051640	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
7150094246575920	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
8426211793966484	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
5706127102565274	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
4178667286777514	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
7211347079163537	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
2715394222171167	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
2346700109498656	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
4984947388306281	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
3179264934205423	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
0251361943436465	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
7063936568198850	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
0710138621945711	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
5937439090050044	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
6897535454515744	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
6034625575894077	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
7154170979832540	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
6541183003171831	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
1928100478937076	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
2076578650189538	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
6355224981962273	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
3058512809761818	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
3592409622660802	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
9303754283954464	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
1152828531273019	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
6516219295405539	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
9965133958814120	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
1353100437268465	BIOLOGIA CELULAR E MOLECULAR	Universidade Federal do Rio Grande do Sul
3971777560277714	BOTÂNICA	Universidade Federal do Rio Grande do Sul
3328314264518039	BOTÂNICA	Universidade Federal do Rio Grande do Sul
6760789832926234	BOTÂNICA	Universidade Federal do Rio Grande do Sul
5180928687720328	BOTÂNICA	Universidade Federal do Rio Grande do Sul
6607900299430351	BOTÂNICA	Universidade Federal do Rio Grande do Sul
7199331941689392	BOTÂNICA	Universidade Federal do Rio Grande do Sul
3170421043879122	BOTÂNICA	Universidade Federal do Rio Grande do Sul
1407800572966874	BOTÂNICA	Universidade Federal do Rio Grande do Sul
9728029816153245	BOTÂNICA	Universidade Federal do Rio Grande do Sul
6022200145144346	BOTÂNICA	Universidade Federal do Rio Grande do Sul
5791990632150474	BOTÂNICA	Universidade Federal do Rio Grande do Sul
